time,open,high,low,close,tick_volume,spread,real_volume,RSI,ADX,DI_Pos,DI_Neg,MFI,Ticker_Yield_Spread,Volatility,SMA_50,SMA_20,signal
2025-09-12 20:00:00,1.17271,1.17375,1.17266,1.17319,1467,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-12 21:00:00,1.17318,1.17414,1.17318,1.17409,1160,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-12 22:00:00,1.17409,1.17411,1.17336,1.17361,1100,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-12 23:00:00,1.17356,1.17363,1.17286,1.17346,1103,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 00:00:00,1.1728399999999999,1.1734,1.1728399999999999,1.17294,359,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 01:00:00,1.17298,1.1734499999999999,1.17276,1.17281,538,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 02:00:00,1.17281,1.17309,1.17248,1.17252,533,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 03:00:00,1.17252,1.1727400000000001,1.17216,1.17265,887,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 04:00:00,1.17265,1.17292,1.17226,1.17273,1215,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 05:00:00,1.17273,1.1729,1.17244,1.17273,731,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 06:00:00,1.1727400000000001,1.1734,1.17269,1.17309,829,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 07:00:00,1.17309,1.17351,1.17306,1.17338,738,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 08:00:00,1.17341,1.17341,1.17276,1.17281,851,6,0,,0.0,0.0,0.0,,,,,,0
2025-09-15 09:00:00,1.17282,1.17296,1.1716,1.17248,2012,6,0,38.74836752836349,0.0,0.0,0.0,38.76527295112662,,0.00046311238044684965,,,0
2025-09-15 10:00:00,1.17248,1.17439,1.17239,1.17334,2543,6,0,54.38707685556857,0.0,0.0,0.0,49.43469514942809,,0.00046867594653152226,,,0
2025-09-15 11:00:00,1.17333,1.17434,1.17297,1.17368,2221,6,0,58.859268428622705,0.0,20.478001086364415,20.870299957751566,52.86186195646698,,0.00040717803973695083,,,0
2025-09-15 12:00:00,1.17368,1.17514,1.17359,1.17459,1769,6,0,67.92407988644977,0.0,24.32652363728023,18.29056421064524,61.5365880511406,,0.0005691100629371717,,,0
2025-09-15 13:00:00,1.1746,1.17625,1.17459,1.17525,1914,6,0,72.63373883973605,0.0,29.634567421015422,16.00836025809336,69.79852500463863,,0.0008097075852593252,,,0
2025-09-15 14:00:00,1.17526,1.17629,1.17525,1.17607,1873,6,0,77.12722833439244,0.0,27.632132926258933,14.765333319183593,74.17923411155449,,0.0011060406069290565,,,0
